diffNuisances run on /nfs/dust/cms/user/sobhatta/work/stopPairToTau/combine/CMSSW_10_2_13/src/closureTestDir/SMS-T8bbstausnu_mStop-200to1800_XCha0p5_XStau0p5_tauTau_analysis_DYveto_pseudodataSB_combined_card2016_card2017_card2018/combineDatacard_SRB_500_350_pseudodataSB/fitDiagnosticsTest.root, at 2021-11-02 03:40:25.286624 with the following options ... {'absolute_values': False, 'show_all_parameters': True, 'format': 'text', 'stol2': 0.5, 'pullDef': '', 'vtol': 0.3, 'stol': 0.1, 'plotfile': '/nfs/dust/cms/user/sobhatta/work/stopPairToTau/combine/CMSSW_10_2_13/src/closureTestDir/SMS-T8bbstausnu_mStop-200to1800_XCha0p5_XStau0p5_tauTau_analysis_DYveto_pseudodataSB_combined_card2016_card2017_card2018/combineDatacard_SRB_500_350_pseudodataSB/plots.root', 'skipFitB': False, 'sortBy': 'correlation', 'vtol2': 2.0, 'poi': 'r', 'skipFitS': False}

stat2018_fake_SRB13                              -0.02, 0.88     * +0.00, 0.88*     *+0.03*      +0.035
stat2018_fake_SRB11                              -0.02, 0.72     * +0.00, 0.72*     *+0.03*      +0.032
stat2017_sig_SRB5                                -0.00, 1.00        -0.00, 1.00       -0.03      -0.038
stat2017_otherSM_SRB4                            +0.02, 0.99        -0.00, 0.99       -0.03      -0.037
stat2016_otherSM_SRB5                            +0.02, 1.00        +0.00, 0.99       -0.03      -0.037
stat2016_fake_SRB8                               -0.02, 0.86     * -0.00, 0.87*     *+0.03*      +0.033
stat2016_TT_SRB3                                 -0.02, 0.96        +0.00, 0.97       +0.03      +0.037
syst2017_tauES                                   -0.02, 0.97        -0.00, 0.97       +0.02      +0.022
syst2016_unclusteredEnergy                       +0.01, 0.99        +0.00, 0.99       -0.02      -0.025
syst2016_JER                                     -0.01, 0.84     * +0.00, 0.81*     *+0.02*      +0.020
stat2018_sig_SRB4                                -0.00, 1.00        +0.00, 1.00       -0.02      -0.024
stat2018_sig_SRB15                               -0.00, 1.00        +0.00, 1.00       -0.02      -0.023
stat2018_sig_SRB10                               -0.00, 1.00        +0.00, 1.00       -0.02      -0.022
stat2018_fake_SRB8                               -0.02, 0.79     * +0.00, 0.79*     *+0.02*      +0.019
stat2018_DY_SRB13                                -0.02, 0.93        -0.00, 0.93       +0.02      +0.027
stat2017_otherSM_SRB10                           +0.01, 0.92        +0.00, 0.93       -0.02      -0.025
stat2017_fake_SRB15                              +0.02, 0.94        -0.00, 0.95       -0.02      -0.032
stat2017_fake_SRB14                              +0.02, 0.96        +0.00, 0.96       -0.02      -0.031
stat2017_fake_SRB11                              -0.01, 0.78     * -0.00, 0.78*     *+0.02*      +0.026
stat2017_TT_SRB7                                 -0.02, 0.97        -0.00, 0.97       +0.02      +0.032
stat2017_TT_SRB3                                 -0.02, 0.96        +0.00, 0.96       +0.02      +0.028
stat2017_TT_SRB15                                +0.01, 0.98        -0.00, 0.98       -0.02      -0.021
stat2017_TT_SRB14                                +0.01, 0.98        +0.00, 0.98       -0.02      -0.023
stat2017_DY_SRB1                                 -0.02, 0.97        +0.00, 0.97       +0.02      +0.030
stat2016_fake_SRB2                               +0.02, 0.89     * +0.00, 0.89*     *-0.02*      -0.031
stat2016_TT_SRB7                                 -0.01, 0.96        +0.00, 0.96       +0.02      +0.021
stat2016_DY_SRB4                                 +0.01, 0.99        +0.00, 0.99       -0.02      -0.027
stat2016_DY_SRB3                                 -0.01, 0.99        +0.00, 0.99       +0.02      +0.021
syst2018_unclusteredEnergy                       +0.00, 0.87     * +0.00, 0.97*       -0.01      -0.007
syst2018_tauFastFullSimSF                        -0.00, 1.00        +0.00, 1.00       -0.01      -0.016
syst2018_pileupReweight                          -0.01, 1.00        -0.00, 1.00       +0.01      +0.017
syst2018_ZpTreweight                             +0.01, 1.00        +0.00, 1.00       -0.01      -0.010
syst2017_unclusteredEnergy                       +0.00, 1.02        +0.00, 0.99       -0.01      -0.017
syst2017_tauFastFullSimSF                        -0.00, 1.00        -0.00, 1.00       -0.01      -0.009
syst2017_luminosity                              +0.00, 1.00        -0.00, 1.00       -0.01      -0.008
syst2017_bTaggingSF                              +0.00, 0.99        -0.00, 0.99       -0.01      -0.009
syst2016_tauFastFullSimSF                        -0.00, 1.00        +0.00, 1.00       -0.01      -0.008
syst2016_luminosity                              +0.00, 1.00        +0.00, 1.00       -0.01      -0.012
syst2016_bTaggingSF                              +0.01, 0.99        +0.00, 1.00       -0.01      -0.018
stat2018_otherSM_SRB7                            -0.01, 0.99        -0.00, 0.99       +0.01      +0.012
stat2018_otherSM_SRB6                            -0.00, 1.00        +0.00, 1.00       +0.01      +0.009
stat2018_otherSM_SRB10                           +0.01, 1.00        +0.00, 1.00       -0.01      -0.009
stat2018_TT_SRB9                                 +0.01, 0.99        +0.00, 0.99       -0.01      -0.012
stat2018_TT_SRB7                                 -0.01, 0.99        -0.00, 0.99       +0.01      +0.015
stat2018_TT_SRB6                                 -0.01, 1.00        +0.00, 1.00       +0.01      +0.011
stat2018_TT_SRB15                                +0.01, 1.00        +0.00, 1.00       -0.01      -0.015
stat2018_TT_SRB12                                -0.00, 1.00        -0.00, 1.00       +0.01      +0.009
