diffNuisances run on /nfs/dust/cms/user/sobhatta/work/stopPairToTau/combine/CMSSW_10_2_13/src/closureTestDir/SMS-T8bbstausnu_mStop-200to1800_XCha0p5_XStau0p5_tauTau_analysis_DYveto_pseudodataB_combined_card2016_card2017_card2018/combineDatacard_SRB_500_350_pseudodataB/fitDiagnosticsTest.root, at 2021-11-02 02:30:39.000581 with the following options ... {'absolute_values': False, 'show_all_parameters': True, 'format': 'text', 'stol2': 0.5, 'pullDef': '', 'vtol': 0.3, 'stol': 0.1, 'plotfile': '/nfs/dust/cms/user/sobhatta/work/stopPairToTau/combine/CMSSW_10_2_13/src/closureTestDir/SMS-T8bbstausnu_mStop-200to1800_XCha0p5_XStau0p5_tauTau_analysis_DYveto_pseudodataB_combined_card2016_card2017_card2018/combineDatacard_SRB_500_350_pseudodataB/plots.root', 'skipFitB': False, 'sortBy': 'correlation', 'vtol2': 2.0, 'poi': 'r', 'skipFitS': False}

stat2018_sig_SRB12                               +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2018_sig_SRB11                               +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2018_sig_SRB10                               +0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2018_sig_SRB1                                +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2018_otherSM_SRB9                            -0.00, 1.00        -0.00, 1.00       -0.00      -0.004
stat2018_otherSM_SRB8                            -0.00, 1.00        -0.00, 1.00       +0.00      +0.001
stat2018_otherSM_SRB3                            +0.00, 0.99        +0.00, 0.99       +0.00      +0.001
stat2018_otherSM_SRB2                            +0.00, 1.00        +0.00, 1.00       -0.00      -0.001
stat2018_otherSM_SRB14                           -0.00, 1.00        -0.00, 1.00       +0.00      +0.001
stat2018_otherSM_SRB13                           -0.00, 1.00        -0.00, 1.00       +0.00      +0.001
stat2018_otherSM_SRB12                           -0.00, 1.00        +0.00, 1.00       +0.00      +0.002
stat2018_otherSM_SRB11                           -0.00, 1.00        -0.00, 1.00       +0.00      +0.002
stat2018_otherSM_SRB1                            -0.00, 1.00        -0.00, 1.00       +0.00      +0.005
stat2018_fake_SRB3                               +0.00, 0.93        +0.00, 0.93       +0.00      +0.002
stat2018_fake_SRB2                               +0.00, 0.89     * +0.00, 0.89*     *-0.00*      -0.004
stat2018_fake_SRB15                              +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2018_fake_SRB14                              +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2018_TT_SRB8                                 -0.00, 1.00        -0.00, 1.00       +0.00      +0.003
stat2018_TT_SRB3                                 +0.00, 0.99        +0.00, 0.99       +0.00      +0.001
stat2018_TT_SRB2                                 +0.00, 0.99        +0.00, 0.99       -0.00      -0.001
stat2018_TT_SRB14                                +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2018_TT_SRB13                                -0.00, 1.00        -0.00, 1.00       +0.00      +0.005
stat2018_TT_SRB11                                -0.00, 1.00        -0.00, 1.00       +0.00      +0.003
stat2018_TT_SRB1                                 -0.00, 1.00        -0.00, 1.00       +0.00      +0.007
stat2018_DY_SRB9                                 +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2018_DY_SRB8                                 +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2018_DY_SRB3                                 +0.00, 0.96        +0.00, 0.96       +0.00      +0.002
stat2018_DY_SRB2                                 +0.00, 0.99        +0.00, 0.99       -0.00      -0.002
stat2018_DY_SRB15                                +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2018_DY_SRB14                                +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2018_DY_SRB11                                -0.00, 1.00        -0.00, 1.00       +0.00      +0.004
stat2018_DY_SRB10                                +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2017_sig_SRB9                                +0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2017_sig_SRB8                                +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2017_sig_SRB7                                +0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2017_sig_SRB6                                +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2017_sig_SRB5                                +0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2017_sig_SRB4                                +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2017_sig_SRB3                                +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2017_sig_SRB2                                +0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2017_sig_SRB15                               +0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2017_sig_SRB14                               +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2017_sig_SRB13                               +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2017_sig_SRB12                               +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2017_sig_SRB11                               +0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2017_sig_SRB10                               +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2017_sig_SRB1                                +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2017_otherSM_SRB8                            -0.00, 1.00        -0.00, 1.00       -0.00      -0.001
stat2017_otherSM_SRB7                            +0.00, 1.00        +0.00, 1.00       +0.00      +0.005
stat2017_otherSM_SRB6                            -0.00, 1.00        -0.00, 1.00       +0.00      +0.003
stat2017_otherSM_SRB2                            -0.00, 1.00        +0.00, 1.00       -0.00      -0.001
stat2017_otherSM_SRB15                           -0.00, 1.00        +0.00, 1.00       -0.00      -0.001
stat2017_otherSM_SRB14                           -0.00, 1.00        -0.00, 1.00       -0.00      -0.000
stat2017_otherSM_SRB13                           -0.00, 1.00        -0.00, 1.00       +0.00      +0.004
stat2017_otherSM_SRB12                           -0.00, 1.00        -0.00, 1.00       +0.00      +0.003
stat2017_otherSM_SRB11                           +0.00, 1.00        +0.00, 1.00       +0.00      +0.001
stat2017_otherSM_SRB1                            -0.00, 1.00        -0.00, 1.00       +0.00      +0.006
stat2017_fake_SRB8                               -0.00, 0.88     * -0.00, 0.88*     *-0.00*      -0.005
stat2017_TT_SRB8                                 -0.00, 0.98        -0.00, 0.98       -0.00      -0.002
stat2017_TT_SRB2                                 -0.00, 0.98        +0.00, 0.98       -0.00      -0.003
stat2017_DY_SRB9                                 +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2017_DY_SRB8                                 -0.00, 1.00        -0.00, 1.00       -0.00      -0.001
stat2017_DY_SRB5                                 +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2017_DY_SRB2                                 -0.00, 0.98        +0.00, 0.98       -0.00      -0.003
stat2017_DY_SRB15                                +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2017_DY_SRB14                                +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2017_DY_SRB13                                +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2017_DY_SRB11                                +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2017_DY_SRB10                                +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2016_sig_SRB9                                +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_sig_SRB8                                +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2016_sig_SRB7                                +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2016_sig_SRB6                                +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2016_sig_SRB5                                +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_sig_SRB4                                +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_sig_SRB3                                +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_sig_SRB2                                +0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2016_sig_SRB15                               +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_sig_SRB14                               +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2016_sig_SRB13                               +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2016_sig_SRB12                               +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2016_sig_SRB11                               +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2016_sig_SRB10                               +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_sig_SRB1                                +0.00, 1.00        -0.00, 1.00       -0.00      -0.000
stat2016_otherSM_SRB8                            +0.00, 1.00        +0.00, 1.00       +0.00      +0.003
stat2016_otherSM_SRB7                            -0.00, 1.00        -0.00, 1.00       +0.00      +0.004
stat2016_otherSM_SRB6                            -0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2016_otherSM_SRB2                            +0.00, 1.00        +0.00, 1.00       -0.00      -0.004
stat2016_otherSM_SRB15                           -0.00, 1.00        -0.00, 1.00       -0.00      -0.005
stat2016_otherSM_SRB14                           -0.00, 1.00        -0.00, 1.00       +0.00      +0.003
stat2016_otherSM_SRB13                           +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_otherSM_SRB12                           -0.00, 1.00        -0.00, 1.00       +0.00      +0.004
stat2016_otherSM_SRB11                           +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_otherSM_SRB10                           +0.00, 1.00        +0.00, 1.00       +0.00      +0.002
stat2016_otherSM_SRB1                            +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_fake_SRB15                              +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2016_fake_SRB11                              +0.00, 0.83     * +0.00, 0.83*     *+0.00*      +0.003
stat2016_fake_SRB10                              +0.00, 0.97        +0.00, 0.97       +0.00      +0.006
stat2016_fake_SRB1                               +0.00, 0.78     * +0.00, 0.78*     *+0.00*      +0.002
stat2016_TT_SRB6                                 -0.00, 0.98        -0.00, 0.98       +0.00      +0.002
stat2016_TT_SRB14                                +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_TT_SRB13                                +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_TT_SRB11                                -0.00, 0.97        -0.00, 0.97       +0.00      +0.001
stat2016_TT_SRB10                                -0.00, 0.99        +0.00, 0.99       +0.00      +0.003
stat2016_TT_SRB1                                 +0.00, 0.98        +0.00, 0.98       +0.00      +0.001
stat2016_DY_SRB9                                 +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2016_DY_SRB8                                 +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_DY_SRB7                                 -0.00, 1.00        -0.00, 1.00       +0.00      +0.004
stat2016_DY_SRB6                                 -0.00, 1.00        -0.00, 1.00       +0.00      +0.000
stat2016_DY_SRB15                                +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
stat2016_DY_SRB14                                +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_DY_SRB13                                +0.00, 1.00        +0.00, 1.00       +0.00      +0.004
stat2016_DY_SRB11                                +0.00, 1.00        +0.00, 1.00       +0.00      +0.000
stat2016_DY_SRB10                                +0.00, 0.99        +0.00, 0.99       +0.00      +0.003
stat2016_DY_SRB1                                 +0.00, 0.98        +0.00, 0.98       +0.00      +0.001
sigMET                                           +0.00, 1.00        +0.00, 1.00       -0.00      -0.000
